FECHA_CORTE,FECHA_MUESTRA,SUB_REGION,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IPRESS,CATEGORIA,MICRORED,RED,EJECUTORA,RENAES,Mes,09-11A,12-17A,18A
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,SULLANA,SULLANA,200601,HOSPITAL DE APOYO II - 2  SULLANA,II-2,NO PERTENECE A NINGUNA MICRORED,NO PERTENECE A NINGUNA RED,HOSPITAL DE APOYO III SULLANA,1910,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,SULLANA,SULLANA,200601,HOSPITAL DE APOYO II - 2  SULLANA,II-2,NO PERTENECE A NINGUNA MICRORED,NO PERTENECE A NINGUNA RED,HOSPITAL DE APOYO III SULLANA,1910,202401,0,1,1
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,SULLANA,SULLANA,200601,HOSPITAL DE APOYO II - 2  SULLANA,II-2,NO PERTENECE A NINGUNA MICRORED,NO PERTENECE A NINGUNA RED,HOSPITAL DE APOYO III SULLANA,1910,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,AYABACA,I-4,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1911,202402,0,1,1
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,AYABACA,I-4,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1911,202401,0,5,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,AYABACA,I-4,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1911,202403,0,1,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,TAPAL,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1912,202401,0,0,1
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,TAPAL,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1912,202403,0,1,1
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,TAPAL,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1912,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHINCHIN,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1913,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHINCHIN,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1913,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHINCHIN,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1913,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,OLLEROS,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1914,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,OLLEROS,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1914,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,OLLEROS,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1914,202401,0,2,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ARAGOTO,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1915,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ARAGOTO,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1915,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ARAGOTO,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1915,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHOCAN,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1916,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHOCAN,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1916,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHOCAN,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1916,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,YANCHALA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1917,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,YANCHALA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1917,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,YANCHALA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1917,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ARREYPITE - PINGOLA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1918,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ARREYPITE - PINGOLA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1918,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ARREYPITE - PINGOLA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1918,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CALVAS DE SAMANGA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1919,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CALVAS DE SAMANGA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1919,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CALVAS DE SAMANGA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1919,202403,0,2,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ESPINDOLA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1920,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ESPINDOLA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1920,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ESPINDOLA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1920,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,REMOLINOS,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1921,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,REMOLINOS,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1921,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,REMOLINOS,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1921,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ANDURCO,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1922,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ANDURCO,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1922,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,ANDURCO,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1922,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,HUIRIQUINGUE,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1923,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,HUIRIQUINGUE,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1923,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,HUIRIQUINGUE,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1923,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,HUACHUMA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1924,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,HUACHUMA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1924,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,HUACHUMA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1924,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,SAUSAL,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1925,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,SAUSAL,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1925,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,SAUSAL,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1925,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,EL TOLDO,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1926,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,EL TOLDO,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1926,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,EL TOLDO,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1926,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,SAMANGUILLA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1927,202403,0,1,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,SAMANGUILLA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1927,202402,0,0,1
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,SAMANGUILLA,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1927,202401,0,1,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHARAN,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1928,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHARAN,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1928,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,CHARAN,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1928,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,LAGUNAS DE CANGLY,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1929,202401,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,LAGUNAS DE CANGLY,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1929,202403,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,LAGUNAS DE CANGLY,I-1,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1929,202402,0,0,0
20240331,20240401,LUCIANO CASTILLO COLONNA,PIURA,AYABACA,AYABACA,200201,PORTACHUELO DE YANTA,I-2,AYABACA,AYABACA,SALUD LUCIANO CASTILLO COLONNA,1930,202403,0,0,0
